year,prompt,number,tool,image_url
2021,Day 1 (Points),01,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_01.jpg
2021,Day 2 (Lines),02,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_02.png
2021,Day 3 (Polygons),03,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_03.jpg
2021,Day 4 (Hexagons),04,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_04.jpg
2021,Day 5 (OpenStreetMap),05,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_05.jpg
2021,Day 6 (Red),06,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_06.jpg
2021,Day 7 (Green),07,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_07.jpg
2021,Day 8 (Blue),08,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_08.jpg
2021,Day 9 (Monochrome),09,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_09.jpg
2021,Day 10 (Raster),10,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_10.png
2021,Day 11 (3D),11,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_11.png
2021,Day 12 (Population),12,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_12.jpg
2021,Day 13 (Natural Earth),13,R,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_13.jpg
2021,Day 14 (Map with a new tool),14,Tableau,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_14.png
2021,Day 15 (Map without a computer),15,watercolour,https://raw.githubusercontent.com/nrennie/30DayChartChallenge/refs/heads/main/2021/maps/day_15.jpg
